source_id,label,at,call_id,excerpt_id,artifact_id,fact_class,epistemic
syn-call-001,call.started_at,2026-09-20T15:04:00Z,syn-call-001,,,raw_observation,raw_observation
syn-call-001,call.ended_at,2026-09-20T15:07:07Z,syn-call-001,,,raw_observation,raw_observation
syn-ex-001,excerpt.started_at,2026-09-20T15:04:12Z,syn-call-001,syn-ex-001,,raw_observation,raw_observation
syn-ex-002,excerpt.started_at,2026-09-20T15:05:40Z,syn-call-001,syn-ex-002,,raw_observation,raw_observation
syn-ex-003,excerpt.started_at,2026-09-20T15:06:10Z,syn-call-001,syn-ex-003,,raw_observation,raw_observation
syn-spk-001,spoken_identifier.recorded_at,2026-09-20T15:04:12Z,syn-call-001,syn-ex-001,,spoken_identifier,raw_observation
syn-spk-002,spoken_identifier.recorded_at,2026-09-20T15:04:12Z,syn-call-001,syn-ex-001,,spoken_identifier,raw_observation
syn-spk-003,spoken_identifier.recorded_at,2026-09-20T15:05:40Z,syn-call-001,syn-ex-002,,spoken_identifier,raw_observation
syn-obs-001,observation.recorded_at,2026-09-20T15:04:12Z,syn-call-001,,,confirmed_observation,raw_observation
syn-obs-002,observation.recorded_at,2026-09-20T15:06:10Z,syn-call-001,,,raw_observation,raw_observation
syn-obs-003,observation.recorded_at,2026-09-20T15:04:12Z,syn-call-001,,,derived_interpretation,derived_interpretation
syn-obs-004,observation.recorded_at,2026-09-20T15:04:00Z,syn-call-001,,,confirmed_observation,raw_observation
syn-call-002,call.started_at,2026-09-21T13:15:00Z,syn-call-002,,,raw_observation,raw_observation
syn-call-002,call.ended_at,2026-09-21T13:17:05Z,syn-call-002,,,raw_observation,raw_observation
syn-ex-004,excerpt.started_at,2026-09-21T13:15:20Z,syn-call-002,syn-ex-004,,raw_observation,raw_observation
syn-spk-004,spoken_identifier.recorded_at,2026-09-21T13:15:20Z,syn-call-002,syn-ex-004,,spoken_identifier,raw_observation
syn-spk-005,spoken_identifier.recorded_at,2026-09-21T13:15:20Z,syn-call-002,syn-ex-004,,spoken_identifier,raw_observation
syn-obs-005,observation.recorded_at,2026-09-21T13:15:20Z,syn-call-002,,,confirmed_observation,raw_observation
syn-reason-001,excerpt.started_at,2026-09-20T15:05:40Z,syn-call-001,syn-ex-002,,derived_association,campaign_attribution
syn-reason-001,excerpt.started_at,2026-09-21T13:15:20Z,syn-call-002,syn-ex-004,,derived_association,campaign_attribution
syn-reason-002,call.started_at,2026-09-20T15:04:00Z,syn-call-001,,,derived_association,campaign_attribution
syn-reason-002,call.started_at,2026-09-21T13:15:00Z,syn-call-002,,,derived_association,campaign_attribution
